year,province,gender,indefinite_contract,single_construction_contract,multiple_construction_contract,single_eventual_contract,multiple_eventual_contract
2012,Almería,Hombres,2741,15494,6002,4743,1856
2012,Almería,Mujeres,2211,12581,5174,5397,2123
2012,Cádiz,Hombres,4606,21563,12906,13624,9764
2012,Cádiz,Mujeres,3995,11653,4187,15247,11675
2012,Córdoba,Hombres,2927,15314,12061,7376,6809
2012,Córdoba,Mujeres,2589,13588,8200,9406,8391
2012,Granada,Hombres,3483,13617,6607,11453,9583
2012,Granada,Mujeres,3486,10239,4699,14200,13309
2012,Huelva,Hombres,1972,15383,13040,3798,2175
2012,Huelva,Mujeres,1380,14092,8788,4200,2574
2012,Jaén,Hombres,2245,12872,12801,8332,7650
2012,Jaén,Mujeres,1759,10599,8254,7777,6152
2012,Málaga,Hombres,7425,21513,11029,19707,12392
2012,Málaga,Mujeres,6853,13612,5131,21796,15273
2012,Sevilla,Hombres,9376,37095,28377,18127,10968
2012,Sevilla,Mujeres,7842,28502,18106,20437,14385
2013,Almería,Hombres,3232,17300,7362,4805,1788
2013,Almería,Mujeres,2692,13462,5874,5079,2022
2013,Cádiz,Hombres,4818,20542,13270,14464,9858
2013,Cádiz,Mujeres,4104,12767,4461,15074,10903
2013,Córdoba,Hombres,2843,15638,13641,7083,6658
2013,Córdoba,Mujeres,2785,14598,8716,9933,7706
2013,Granada,Hombres,3611,14876,7705,10908,9244
2013,Granada,Mujeres,3544,11878,4949,13392,11040
2013,Huelva,Hombres,1995,15555,14496,3721,2277
2013,Huelva,Mujeres,1481,14561,9517,4178,2473
2013,Jaén,Hombres,2022,15292,15916,8220,7148
2013,Jaén,Mujeres,1850,12528,9511,7336,5132
2013,Málaga,Hombres,7614,21830,12205,19048,12509
2013,Málaga,Mujeres,7076,14700,5407,20920,14038
2013,Sevilla,Hombres,9534,36990,30541,17900,11151
2013,Sevilla,Mujeres,8093,31303,19791,19861,13218
2014,Almería,Hombres,3911,18531,8332,4537,1673
2014,Almería,Mujeres,3134,14032,6537,4963,2001
2014,Cádiz,Hombres,5882,20694,13794,13171,9858
2014,Cádiz,Mujeres,4895,13306,4773,13494,11221
2014,Córdoba,Hombres,3516,15754,14167,6766,6657
2014,Córdoba,Mujeres,3042,14996,8827,9218,7641
2014,Granada,Hombres,4655,15428,8727,10010,9357
2014,Granada,Mujeres,4400,12587,5355,11977,10625
2014,Huelva,Hombres,2387,15643,15688,3551,2326
2014,Huelva,Mujeres,1721,14936,9743,3898,2675
2014,Jaén,Hombres,2363,13505,15591,6673,7880
2014,Jaén,Mujeres,1887,12375,9531,6618,5618
2014,Málaga,Hombres,10070,23337,13124,18697,12578
2014,Málaga,Mujeres,8886,15575,5549,20505,14127
2014,Sevilla,Hombres,11360,38526,32037,17410,11150
2014,Sevilla,Mujeres,9622,33175,20440,18977,12886
2015,Almería,Hombres,4253,18497,9300,4762,2128
2015,Almería,Mujeres,3168,14283,7284,5083,2285
2015,Cádiz,Hombres,6112,19147,14214,13598,10391
2015,Cádiz,Mujeres,5089,13874,5290,14521,12067
2015,Córdoba,Hombres,4101,15569,14593,6526,6049
2015,Córdoba,Mujeres,3432,15890,9537,9142,7006
2015,Granada,Hombres,4865,14785,9024,9837,9089
2015,Granada,Mujeres,4239,12899,5705,12548,10029
2015,Huelva,Hombres,2831,15252,15872,3429,2496
2015,Huelva,Mujeres,2326,14652,10374,3975,2854
2015,Jaén,Hombres,2719,14386,17005,6994,6193
2015,Jaén,Mujeres,2188,12677,9944,6837,4742
2015,Málaga,Hombres,10084,23716,14137,19633,13594
2015,Málaga,Mujeres,9416,16864,6072,21210,14803
2015,Sevilla,Hombres,12239,36498,32975,17420,11507
2015,Sevilla,Mujeres,10696,32706,20378,19691,12987
2016,Almería,Hombres,5322,18058,9451,5065,2364
2016,Almería,Mujeres,3713,14188,7326,5457,2737
2016,Cádiz,Hombres,6252,18871,14840,14069,11208
2016,Cádiz,Mujeres,5291,12539,5052,15521,13486
2016,Córdoba,Hombres,4178,15361,14113,6880,6581
2016,Córdoba,Mujeres,3342,15063,8864,9311,7539
2016,Granada,Hombres,5164,15059,8995,10484,8706
2016,Granada,Mujeres,4551,13141,5840,12843,10139
2016,Huelva,Hombres,2383,15429,15116,3538,2497
2016,Huelva,Mujeres,1988,14738,9973,4185,3066
2016,Jaén,Hombres,2932,14393,16544,6815,6274
2016,Jaén,Mujeres,2738,12355,9132,6753,4941
2016,Málaga,Hombres,11461,23229,13939,21191,14334
2016,Málaga,Mujeres,9782,15968,5941,22911,15890
2016,Sevilla,Hombres,13210,36251,34176,18681,11947
2016,Sevilla,Mujeres,10498,32095,22081,20930,13372
2017,Almería,Hombres,5979,18814,9971,5409,2554
2017,Almería,Mujeres,3977,14665,7880,5696,2746
2017,Cádiz,Hombres,7460,21162,14996,13334,11711
